title,salary_from,salary_to
Старший системный администратор Linux,150000,
Старший системный администратор Linux,150000,
Openstack инженер,360000,
Senior python developer / Tech Lead,,
Разработчик (Backend developer / Python),120000,
Системный аналитик Python (Middle),85000,
Системный аналитик Python (Junior),65000,
Senior QA Engineer (Python + AWS),,
Senior QA Engineer (Python + AWS),,
Middle+/Senior Backend Engineer (Python),,
Разработчик Python под Linux (senior),,
Python-разработчик,200000,350000
"Инженер-программист (Python, Bash-скрипты)",,
Middle+ Python-разработчик (команда мобильной разработки),,
Python QA Automation Engineer,50000,80000
Наставник на курс “Python-разработчик”,,
Python developer,,
"Преподаватель детских курсов программирования (Python, Unity)",1500,3000
Python разработчик,,
Программист прикладного ПО C/C++/Python,,
Разработчик на Python и Django (проектная работа),,
Преподаватель робототехники и программирования,25000,36000
Преподаватель робототехники и программирования,25000,36000
Разработчик Greenplum,,
Инженер-программист Python/С++ (разработка алгоритмов для приборов аэронавигации),130000,
Python | Go Developer,,
Тестировщик ПО (Python),50000,80000
"Python разработчик, middle",150000,200000
Программист Python (Junior),60000,
Python разработчик,,180000
Python-разработчик,,
Разработчик Python (Middle),90000,150000
Senior Python developer,,
Разработчик Python (ИБ),,
Python Data Engineer,,
Ведущий программист (Middle Python-разработчик для GPT/LLM проектов),100000,120000
Программист-разработчик Python,200000,
Middle Python Developer,2000,3500
Разработчик Python (Senior),,
Backend разработчик Python,80000,90000
QA Automation Engineer (Python)/SDET,,
Senior python developer,,
Middle QAA-инженер в команду Social,800,1300
Middle QAA-инженер в команду Social,,
Разработчик Greenplum,,
Инженер-программист (Middle Python Developer),,
"Разработчик операций AI, Python/React",800,1300
Python developer,80000,150000
Senior Python,,
Python разработчик,,
Разработчик Python,100000,140000
Python-разработчик,100000,120000
"DevTools Engineer (C++, Go, Python)",,
Senior Python разработчик в инновационный криптопроект,300000,400000
"AI разработчик (математик-алгоритмист, ML, Python)",2000,2500
Python Developer в CRM,,
Программист Python,180000,250000
Менеджер по автоматизации (SQL/Python),,
Python-разработчик,,470000
Python-разработчик,,200000
"Python-разработчик (middle, middle+)",,
Python-разработчик,250000,300000
Python Developer,,
Преподаватель в школу программирования (курс компьютерной грамотности),,300000
Преподаватель в школу программирования (курс компьютерной грамотности),,
Python-разработчик (Django),,
Fullstack разработчик Python на Odoo,,
Python Developer в Витрина.Core,,
QA Automation Engineer Python,,300000
Senior C++/Python developer,,
QA Automation Engineer (Python),,
Python Developer в команду Телефонии,,
Automation QA инженер (Python),,
Automation QA инженер (Python),,
Senior python developer,,
Python Senoir разработчик,200000,250000
"Senior разработчик-python (Django, DRF)",200000,320000
Senior Python Engineer,5000,7000
Python Web Developer (Мир танков),,
"Инженер баз данных PostgreSQL, Python",200000,
Программист Python (backend и frontend),,
Разработчик (Python/JavaScript),,150000
Программист Middle Python,140000,
Backend developer Python (middle/ senior),,
Преподаватель в школу программирования (создание игр и анимации в Scratch и Scratch Junior),,400000
Преподаватель в школу программирования (создание игр и анимации в Scratch и Scratch Junior),,
Программист Python,,
Python-разработчик,,400000
Python разработчик (ОФИС),150000,250000
Backend Python developer,,
Senior python-разработчик (Django),,
Senior Python-разработчик (команда мобильной разработки),,
Python разработчик,,
QA Automation Engineer (Python),,
Специалист по поддержке python-приложения (Зеленоград),90000,90000
Server Developer (Python/ C++),,
Network Automation Engineer (Python),,
Python-разработчик Machine Learning / Computer Vision,400000,
QA Full-stack (Python),,
"Преподаватель компьютерных курсов для детей (Python), Москва",50000,100000
Программист Python (внутренние проекты) / Python Developer (internal projects),,
Python Backend Разработчик (Удаленно),,
Python developer middle/middle+,,
Python-разработчик (Гибридный формат),,
Backend Python Developer (Django),,240000
Full-Stack разработчик на Python,,50000
Full-Stack разработчик на Python,,
Middle Python Developer (back-end),,
Senior Python Developer,,
Инженер по автоматизации тестирования (Python),,
"Инженер по разработке ПО (Python, C/C++, Bash, Embedded Linux)",,50000
Junior/Middle Python Backend Developer,,
Python developer (Senior),,
Middle Python-разработчик,,
Администратор Linux / Junior python разработчик,40000,60000
Программист Python / Django (в офис),,
Senior Python разработчик,,
Tech Lead Backend разработки (Python),,
Senior Python Developer (Data Platform),,
Разработчик Python (автоматизация систем ИБ),,
Инженер по тестированию backend (Python),,
Системный программист C++ / Go / Python,,
Middle Backend разработчик (Python + Golang),200000,285000
Python/FastAPI/Django Developer (Офис),140000,180000
Аналитик Python (в направление информационной безопасности),,
Python ML/AI разработчик (удаленно),200000,
Преподаватель в школу программирования (курс компьютерной грамотности),,90000
Преподаватель в школу программирования (курс компьютерной грамотности),,
Backend-Developer Python (senior),,
"Senior system software developer/Architect (Python, С)",,
"Senior system software developer/Architect (Python, С)",,
"Разработчик Python, PaaS",,
Python разработчик (midle),,
Python-разработчик (удалённо),,
Разработчик Python (senior),,
Senior Python Developer,,
Senior Python Developer,,
Разработчик MLOps (Python),,
"Преподаватель IT-дисциплин Python, С++, C#, Сети",,90000
"QA Automation (python, pytest) AdTech",,
Автор работ по программированию Python,,90000
"Middle Backend-разработчик (Python, Django)",,
Backend developer (python) Middle/Senior в офис,,
Тестировщик (Ручное модульное тестирование backend + автотесты Python),,
Python разработчик Middle,,
Python Backend-разработчик (Middle/Senior),200000,
"Преподаватель компьютерных курсов (Python, MS SQL, Java, HTML & CSS)",80000,
Python разработчик,220000,250000
Python разработчик,,
Python-разработчик,,
Python разработчик,,
Python разработчик,,
Senior QAA Python в 2GIS.PRO,,
Senior QAA Python в 2GIS.PRO,,
Senior QAA Python в 2GIS.PRO,,
Middle Python-разработчик (IRP),,
QA Automation Engineer (Python),,
Python-разработчик,,
Middle Backend Разработчик (Python),220000,250000
Python - разработчик (импортозамещение DBeaver),,
Разработчик Python (Senior/TechLead),,
QA Fullstack (Python),,
Разработчик Python (инфраструктурные сервисы),,
Senior Python Dev,300000,350000
Python разработчик (команда SberWorks),,
Python разработчик (офис),,250000
Backend Python разработчик,,
Python разработчик (Маркетинг AI),,
QA Automation (Python) (г. Казань),70000,100000
QA Automation (Python) (г. Казань),,
"Back-end разработчик Python, Django",70000,100000
"Преподаватель на курс ""Python разработчик""",60000,
Управляющий отделом Python-разработки,,
QA Automation Python,,
Senior Python Developer,,
QA Automation (Python),,
Senior Python Engineers,,
Senior Python Engineers,,
"Backend-разработчик (Senior, Lead Python)",,
AQA engineer/ автотестировщик Python,,
QA Lead (Python),,
Middle Python разработчик,,
Разработчик бэкенда на Python и Go в Вертикали,,
Разработчик бэкенда на Python и Go в Вертикали,,
Разработчик бэкенда на Python и Go в Вертикали,,
Разработчик ETL / Python,,
Senior Python developer,200000,300000
BackEnd-разработчик Python (Middle/Senior),,
Тимлид \ Team Lead (управление 5 Junior'ами) stack: Python (Django) + PostgreSQL,30000,
"Python разработчик (Middle +, Senior)",170000,
"Python разработчик (Middle +, Senior)",,
Middle/Senior Python Developer [Bridge],,
Python Developer (MDR),,
Python developer / Python разработчик,,
Python Developer,,
Инженер по автоматизации тестирования (Python),,
Инженер по автоматизации (Python/Flask),,
Python Developer,,
"Full-stack developer (Python, VueJS)",170000,
Разработчик Python,,
Разработчик Python (Middle+),100000,
QA Automation Engineer (Python),,
"QA Engineer Python (Cyprus, релокация)",,
Python-разработчик в Кинопоиск,,
QA Automation Engineer (Python),,
Разработчик Python (Наставник),42000,84000
"Преподаватель программирования Roblox, Python",,
Разработчик Python,,
Senior QA Automation (Python),,
Python Developer / Backend (Middle),150000,300000
Преподаватель Python в IT - школу,150000,
Преподаватель Python в IT - школу,,
Python developer,,
Разработчик в тестировании / SDET (Python),,
Strong junior / Middle Python разработчик,,
Разработчик Python / Python Developer,,
Python разработчик,,
Python-разработчик,,
SDET (Selenium WebDriver + Python),150000,
Разработчик на С++ / Python в группу систем управления флотом роботов,,
Разработчик Python,,
Middle Python разработчик,,
Python developer / Разработчик Python (KORNFELD),,
Python developer / Разработчик Python (KORNFELD),,
Python developer / Разработчик Python (KORNFELD),,
Senior Python developer,,
Senior Python developer,,
QA Lead Python,,
